,COMPANY,DATE,OPEN,CLOSE
90879,SBER,2012-03-02,100.77,101.6
90880,SBER,2012-03-05,101.76,102.3
90881,SBER,2012-03-06,101.75,97.37
90882,SBER,2012-03-07,97.07,97.68
90883,SBER,2012-03-11,99.62,99.57
90884,SBER,2012-03-12,99.16,99.09
90885,SBER,2012-03-13,99.72,100.53
90886,SBER,2012-03-14,101.81,103.32
90887,SBER,2012-03-15,102.89,100.65
90888,SBER,2012-03-16,100.97,100.18
90889,SBER,2012-03-19,100.92,99.67
90890,SBER,2012-03-20,99.8,98.49
90891,SBER,2012-03-21,98.89,98.2
90892,SBER,2012-03-22,97.95,96.0
90893,SBER,2012-03-23,96.33,97.6
90894,SBER,2012-03-26,98.09,99.98
90895,SBER,2012-03-27,100.46,97.79
90896,SBER,2012-03-28,97.48,95.91
90897,SBER,2012-03-29,95.73,93.55
90898,SBER,2012-03-30,94.9,94.86
90899,SBER,2012-04-02,95.4,95.13
90900,SBER,2012-04-03,96.06,98.0
90901,SBER,2012-04-04,97.05,96.17
90902,SBER,2012-04-05,96.57,97.42
90903,SBER,2012-04-06,97.4,95.64
90904,SBER,2012-04-09,95.33,95.92
90905,SBER,2012-04-10,95.73,95.55
90906,SBER,2012-04-11,94.89,96.0
90907,SBER,2012-04-12,96.35,95.41
90908,SBER,2012-04-13,94.15,94.18
90909,SBER,2012-04-16,93.59,92.31
90910,SBER,2012-04-17,92.4,93.23
90911,SBER,2012-04-18,93.99,92.9
90912,SBER,2012-04-19,93.08,94.35
90913,SBER,2012-04-20,93.92,95.0
90914,SBER,2012-04-23,94.55,92.54
90915,SBER,2012-04-24,92.59,92.65
90916,SBER,2012-04-25,93.15,93.75
90917,SBER,2012-04-26,94.04,92.62
90918,SBER,2012-04-27,92.35,93.79
90919,SBER,2012-04-28,93.75,93.95
90920,SBER,2012-05-02,94.42,93.06
90921,SBER,2012-05-03,93.3,92.55
90922,SBER,2012-05-04,92.14,90.83
90923,SBER,2012-05-05,90.53,90.42
90924,SBER,2012-05-07,89.02,88.5
90925,SBER,2012-05-08,89.03,89.53
90926,SBER,2012-05-10,89.72,91.79
90927,SBER,2012-05-11,90.94,91.04
90928,SBER,2012-05-12,90.5,90.99
90929,SBER,2012-05-14,90.48,87.55
90930,SBER,2012-05-15,87.52,88.19
90931,SBER,2012-05-16,86.95,86.91
90932,SBER,2012-05-17,87.0,80.71
90933,SBER,2012-05-18,78.9,78.19
90934,SBER,2012-05-21,78.95,81.95
90935,SBER,2012-05-22,82.71,82.82
90936,SBER,2012-05-23,81.34,78.65
90937,SBER,2012-05-24,79.53,81.44
90938,SBER,2012-05-25,81.17,79.87
90939,SBER,2012-05-28,80.85,80.37
90940,SBER,2012-05-29,80.96,84.14
90941,SBER,2012-05-30,83.42,82.38
90942,SBER,2012-05-31,82.37,81.69
90943,SBER,2012-06-01,81.6,78.86
90944,SBER,2012-06-04,77.47,78.1
90945,SBER,2012-06-05,78.88,78.11
90946,SBER,2012-06-06,78.96,80.62
90947,SBER,2012-06-07,81.1,83.44
90948,SBER,2012-06-08,82.2,81.38
90949,SBER,2012-06-09,81.98,81.58
90950,SBER,2012-06-13,82.02,83.04
90951,SBER,2012-06-14,82.73,83.05
90952,SBER,2012-06-15,83.63,84.34
90953,SBER,2012-06-18,85.24,86.2
90954,SBER,2012-06-19,85.92,86.96
90955,SBER,2012-06-20,86.95,85.73
