;Unnamed: 0;COMPANY;DATE;OPEN;CLOSE
1680;100595;TATN;2012-08-16;203.78;200.51
1681;100596;TATN;2012-08-17;201.22;201.48
1682;100596;TATN;2012-08-18;201.22;201.48
1683;100596;TATN;2012-08-19;201.22;201.48
1684;100597;TATN;2012-08-20;202.24;199.58
1685;100598;TATN;2012-08-21;199.65;204.03
1686;100599;TATN;2012-08-22;202.9;203.66
1687;100600;TATN;2012-08-23;204.5;203.33
1688;100601;TATN;2012-08-24;202.42;203.19
1689;100601;TATN;2012-08-25;202.42;203.19
1690;100601;TATN;2012-08-26;202.42;203.19
1691;100602;TATN;2012-08-27;204.11;202.34
1692;100603;TATN;2012-08-28;202.0;201.91
1693;100604;TATN;2012-08-29;201.91;200.25
1694;100605;TATN;2012-08-30;201.0;199.17
1695;100606;TATN;2012-08-31;199.35;195.77
1696;100606;TATN;2012-09-01;199.35;195.77
1697;100606;TATN;2012-09-02;199.35;195.77
1698;100607;TATN;2012-09-03;196.19;196.7
1699;100608;TATN;2012-09-04;197.39;197.22
1700;100609;TATN;2012-09-05;196.23;194.01
1701;100610;TATN;2012-09-06;195.2;201.01
1702;100611;TATN;2012-09-07;201.5;204.42
1703;100611;TATN;2012-09-08;201.5;204.42
1704;100611;TATN;2012-09-09;201.5;204.42
1705;100612;TATN;2012-09-10;203.55;204.18
1706;100613;TATN;2012-09-11;203.12;204.29
1707;100614;TATN;2012-09-12;204.5;205.49
1708;100615;TATN;2012-09-13;204.55;206.3
1709;100616;TATN;2012-09-14;208.49;210.33
1710;100616;TATN;2012-09-15;208.49;210.33
1711;100616;TATN;2012-09-16;208.49;210.33
1712;100617;TATN;2012-09-17;210.0;210.83
1713;100618;TATN;2012-09-18;209.66;210.89
1714;100619;TATN;2012-09-19;210.48;209.39
1715;100620;TATN;2012-09-20;208.48;208.25
1716;100621;TATN;2012-09-21;209.0;210.05
1717;100621;TATN;2012-09-22;209.0;210.05
1718;100621;TATN;2012-09-23;209.0;210.05
1719;100622;TATN;2012-09-24;209.99;206.5
1720;100623;TATN;2012-09-25;206.61;203.46
1721;100624;TATN;2012-09-26;201.78;196.61
1722;100625;TATN;2012-09-27;197.63;200.13
1723;100626;TATN;2012-09-28;201.95;201.32
1724;100626;TATN;2012-09-29;201.95;201.32
1725;100626;TATN;2012-09-30;201.95;201.32
1726;100627;TATN;2012-10-01;200.96;207.76
1727;100628;TATN;2012-10-02;207.0;207.83
1728;100629;TATN;2012-10-03;206.85;203.13
